Country,YR2017,YR2018,YR2019
Dominica,7274.517730717,7687.46296348005,8516.28003895161
Djibouti,2914.35819688602,3141.86171059002,3414.9161775746
Denmark,57610.0981801135,61591.9288698958,59775.7350964515
Czech Republic,20636.199952435,23419.7356136502,23660.1488068317
Cyprus,26444.0743777801,29089.4713273857,28288.4615757198
Curacao,19457.5315232205,19630.8934873019,19701.270377457
Cuba,8541.21368643707,8824.19400843842,9125.8786794952
Croatia,13629.289592247,15227.5600968096,15311.766903695
Cote d'Ivoire,2111.02655726645,2314.05095836881,2276.3323939018
Costa Rica,12225.5744931403,12485.423896168,12693.8279560372
"Congo, Rep.",2169.99150353963,2606.6153307839,2369.72949429109
"Congo, Dem. Rep.",467.07423172679,560.807358238634,580.716870645391
Comoros,1323.81484301294,1428.29046324322,1401.54231196814
Colombia,6376.70671552601,6729.58333198168,6424.9794924083
China,8816.98690451989,9905.34200389253,10143.8381719921
Chile,14998.8170563212,15888.144355398,14741.7144039954
Channel Islands,,,
Chad,665.948884859102,726.151007088549,709.54004317463
Central African Republic,450.900657858547,475.953813864813,467.908032277798
Cayman Islands,81513.1630224977,86059.7392168454,91392.6425875166
Canada,45129.3564395662,46454.7433947203,46326.6726375572
Cameroon,1469.44749980724,1585.24053445546,1533.09568807789
Cambodia,1385.26006616114,1512.12698889384,1643.12138876539
Cabo Verde,3289.90220261281,3616.46453749713,3603.77524058462
Burundi,253.826354063895,238.783467020173,228.213589244227
Burkina Faso,734.996267960528,804.500537821516,796.115206827676
Bulgaria,8366.29322145748,9446.70077185518,9879.26853313318
Brunei Darussalam,28571.608291419,31628.4762566009,31085.9619255901
British Virgin Islands,,,
Brazil,9928.67589653405,9151.38173161536,8897.55296585529
Botswana,7296.09214157008,7503.8785883646,7203.06422122998
Bosnia and Herzegovina,5394.26894391382,6070.34908129292,6119.76234462222
Bolivia,3351.12434384125,3548.59078021377,3552.06814321502
Bhutan,3286.59674376682,3243.47743748718,3322.86332871934
Bermuda,111820.581466347,113023.185594268,117098.446325474
Benin,1136.59387178448,1241.82529800958,1219.51550596905
Belize,4945.85769867226,5001.42215663433,5078.80994441772
Belgium,44089.3100875118,47519.5530968943,46591.4916067396
Belarus,5785.67067254068,6360.06247301284,6837.71782606351
Barbados,17391.6689084614,17745.2553725928,18148.4978451054
Bangladesh,1563.76781861826,1698.13208078712,1855.74009422319
Bahrain,23742.9373424159,24085.955988096,23551.9300857404
"Bahamas, The",32376.5091722572,33290.028135413,33799.4176940891
Azerbaijan,4147.08971569171,4739.84171028393,4805.75371765917
Austria,47312.0062332199,51461.4332150082,50114.4011099728
Australia,53934.2501750463,57180.7794001614,54875.2859563351
Aruba,29350.8050189137,30253.2793580195,
Armenia,3914.52785436696,4220.54032079145,4604.64632355695
Argentina,14613.041824658,11795.1593866287,10056.637940265
Antigua and Barbuda,15383.5763979856,16679.5916624545,17376.6496765004
Angola,4095.8100568707,3289.64399476678,2809.62608839129
Andorra,38964.904478265,41791.9698372411,40897.3308728669
American Samoa,11003.8297642807,11521.6097798453,11715.3601388487
Algeria,4109.69821695727,4142.01855842917,3989.66827645236
Albania,4531.0193737689,5287.66369446913,5395.65953185375
Afghanistan,516.679862210543,485.668418729808,494.179349886029
World,10796.6345206213,11345.1803486201,11395.4109947207
Upper middle income,8846.47638579569,9468.93298334383,9572.87278662792
Sub-Saharan Africa (IDA & IBRD countries),1588.32240939346,1626.06247939811,1628.74127673579
Sub-Saharan Africa (excluding high income),1587.01200492886,1624.7729965878,1627.45490368356
Sub-Saharan Africa,1588.32240939346,1626.06247939811,1628.74127673579
South Asia (IDA & IBRD),1867.44396793317,1894.00888357406,1959.52584479156
South Asia,1867.44396793317,1894.00888357406,1959.52584479156
Small states,12032.933965063,13001.1586933361,12594.6768910683
Pre-demographic dividend,1405.86703600186,1461.14528622573,1488.19849892854
Post-demographic dividend,43033.4407976666,45489.6699087732,45819.8433912294
Pacific island small states,4220.25656123686,4340.02074365313,4270.4110635243
Other small states,13201.5186944606,14354.4467109094,13799.5866939806
OECD members,37407.2643344895,39370.2764130819,39552.9579888986
Not classified,,,
North America,58605.3442919246,61381.7198451523,63341.7836383808
Middle income,5143.32247419721,5401.50349437534,5481.3737581515
Middle East & North Africa (IDA & IBRD countries),3677.60855157959,3446.05690469067,3447.243891381
Middle East & North Africa (excluding high income),3676.93134292149,3447.44418508612,3449.76562631738
Middle East & North Africa,7285.86804562163,7476.07933790311,7432.34045992297
Lower middle income,2268.42416744568,2267.5468483045,2354.57872458511
Low income,663.436016601648,672.482767078443,689.704423259533
Low & middle income,4705.42138250051,4932.95973217384,4999.74702961126
Least developed countries: UN classification,1038.48206262267,1051.89147142303,1070.09871782393
Latin America & the Caribbean (IDA & IBRD countries),9037.22154892312,8743.52788324261,8525.42186054554
Latin America & Caribbean (excluding high income),8744.99517157635,8408.17469813318,8226.23632426779
Latin America & Caribbean,9188.21002991855,8905.58133741896,8705.11709848038
Late-demographic dividend,8988.12518892107,9800.4624847542,9940.08562242627
IDA total,1267.40118323389,1313.08241055727,1339.44506451677
IDA only,1036.65209832641,1087.03050145152,1117.47055828158
IDA blend,1723.16488620871,1759.49636468312,1777.85106883714
IDA & IBRD total,4840.29024717387,5080.69809605947,5144.10692741265
IBRD only,6042.98149259716,6366.56267284833,6461.33454460031
High income,42746.0035840563,45227.959421177,45453.0478919778
Heavily indebted poor countries (HIPC),947.289721811977,983.412305255865,983.272425528917
Fragile and conflict affected situations,1655.82598157378,1768.70929457141,1826.62898910704
European Union,33023.7909043105,35737.3012495528,35084.4207979969
Europe & Central Asia (IDA & IBRD countries),8562.50740041241,8876.15396402874,9013.79564853992
Europe & Central Asia (excluding high income),8026.77331662083,8213.36006618727,8343.55043110518
Europe & Central Asia,23670.0797144695,25290.3314474501,24907.3960416069
Euro area,37062.1403612769,40038.1871666259,39189.4378399183
East Asia & Pacific (IDA & IBRD countries),7210.91699438358,8012.14971049584,8235.58367678187
East Asia & Pacific (excluding high income),7131.63134907767,7924.23430084574,8145.3454372488
East Asia & Pacific,10442.859498698,11297.6018024587,11478.0331318664
Early-demographic dividend,3473.4628607271,3452.37858465588,3503.43973285427
Central Europe and the Baltics,14248.7481226245,16045.9536352205,16346.5549412626
Caribbean small states,9800.96588647345,10234.2111791244,10291.8073190241
Arab World,5959.73801757908,6473.54953612828,6458.04387813332
Africa Western and Central,1613.47355303429,1704.1396025899,1777.91867152634
Africa Eastern and Southern,1571.3070525457,1573.22158453912,1527.73455838966
